"country","iso2","iso3","iso_numeric","g_whoregion","year","tbhiv_surv_prev","tbhiv_surv_yr","tbhiv_surv_cil","tbhiv_surv_ciu","tbhiv_sentin_prev","tbhiv_sentin_yr","tbhiv_sentin_cil","tbhiv_sentin_ciu"
"Benin","BJ","BEN","204","AFR",2008,,,,,17,2008,,
"Benin","BJ","BEN","204","AFR",2009,,,,,16,2009,15,17
"Benin","BJ","BEN","204","AFR",2010,,,,,16,2010,15,16
"Botswana","BW","BWA","072","AFR",2008,67.5,2008,,,,,,
"Cameroon","CM","CMR","120","AFR",2009,35,2008,,,,,,
"Cameroon","CM","CMR","120","AFR",2010,35,2008,,,,,,
"China","CN","CHN","156","WPR",2007,,2007,,,,,,
"China","CN","CHN","156","WPR",2012,,,,,0.75,2012,0.73,0.77
"Democratic Republic of the Congo","CD","COD","180","AFR",2007,8.6,2007,,,,,,
"Democratic Republic of the Congo","CD","COD","180","AFR",2008,,,,,8,2008,,
"Denmark","DK","DNK","208","EUR",2008,0.1,2009,,,,,,
"Denmark","DK","DNK","208","EUR",2009,4,2009,2,8,,,,
"Denmark","DK","DNK","208","EUR",2010,3,2009,,,,,,
"Denmark","DK","DNK","208","EUR",2012,3,2011,,,,2013,,
"Ethiopia","ET","ETH","231","AFR",2011,,,,,17.3,2011,16.5,18.1
"Ethiopia","ET","ETH","231","AFR",2013,,,,,17.9,2012,,
"Ethiopia","ET","ETH","231","AFR",2014,,,,,17.2,2013,,
"Ethiopia","ET","ETH","231","AFR",2015,,,,,17.6,2015,,
"Ghana","GH","GHA","288","AFR",2007,15.5,2008,,,0,,,
"Ghana","GH","GHA","288","AFR",2008,14.7,2008,,,,,,
"Guatemala","GT","GTM","320","AMR",2008,,,,,19,2007,15.3,23.4
"India","IN","IND","356","SEA",2007,7,2007,,,,,,
"Indonesia","ID","IDN","360","SEA",2017,2.41,2017,1.27,4.53,,,,
"Israel","IL","ISR","376","EUR",2010,3.8,2010,3.61,4,0,,0,0
"Kenya","KE","KEN","404","AFR",2008,45,2008,42,48,0,2008,0,0
"Kenya","KE","KEN","404","AFR",2009,44,2009,42,46,0,2009,0,0
"Kenya","KE","KEN","404","AFR",2010,41,2010,37,45,,,,
"Malawi","MW","MWI","454","AFR",2008,63,2008,,,,,,
"Malawi","MW","MWI","454","AFR",2010,77,2001,50,92,63,2010,53,82
"Mozambique","MZ","MOZ","508","AFR",2013,,,,,56,2013,,
"Myanmar","MM","MMR","104","SEA",2007,,,,,10.9,2006,,
"Myanmar","MM","MMR","104","SEA",2008,,,,,11,2008,,
"Myanmar","MM","MMR","104","SEA",2009,,,,,11,2008,,
"Myanmar","MM","MMR","104","SEA",2010,10.4,2010,,,10.4,2010,,
"Myanmar","MM","MMR","104","SEA",2011,9.9,2011,8.8,11,9.9,2011,8.8,11
"Myanmar","MM","MMR","104","SEA",2012,0,2012,0,0,9.7,2012,8.7,10.7
"Myanmar","MM","MMR","104","SEA",2013,,2013,,,9.2,2013,8.2,10.2
"Myanmar","MM","MMR","104","SEA",2016,,,,,8.4,2016,,
"Namibia","NA","NAM","516","AFR",2008,59,2008,,,17.8,2008,,
"Namibia","NA","NAM","516","AFR",2009,58,2009,50,70,34,2009,34,34
"Namibia","NA","NAM","516","AFR",2010,55,2010,53.82,55.82,,2010,,
"Papua New Guinea","PG","PNG","598","WPR",2008,,,,,3.8,2008,,
"Portugal","PT","PRT","620","EUR",2008,14.6,2008,13.38,15.94,,,,
"Portugal","PT","PRT","620","EUR",2010,12,2010,10,13,,,,
"South Sudan","SS","SSD","728","AFR",2011,14.7,2011,1.8,18.1,,,,
"Syrian Arab Republic","SY","SYR","760","EMR",2007,,,,,0,2007,,
"Syrian Arab Republic","SY","SYR","760","EMR",2008,0,,,,,,,
"Tajikistan","TJ","TJK","762","EUR",2008,4,2008,13,18,,,,
"Thailand","TH","THA","764","SEA",2007,17,2006,,,,,,
"Thailand","TH","THA","764","SEA",2008,17,2007,,,,,,
"Thailand","TH","THA","764","SEA",2009,17,2007,,,,,,
"Togo","TG","TGO","768","AFR",2008,32,2008,,,,,,
"Togo","TG","TGO","768","AFR",2009,25,2009,,,0,,,
"Togo","TG","TGO","768","AFR",2010,25,2010,,,,,,
"Tonga","TO","TON","776","WPR",2009,0,2009,0,0,0,2009,0,0
"Tonga","TO","TON","776","WPR",2010,0,2010,0,0,0,2010,0,0
"Uganda","UG","UGA","800","AFR",2008,59.3,2008,,,,,,
"Uganda","UG","UGA","800","AFR",2009,56.1,2009,,,,,,
"Uganda","UG","UGA","800","AFR",2010,54,2010,,,,,,
"United Republic of Tanzania","TZ","TZA","834","AFR",2008,47,2008,,,,,,
"United Republic of Tanzania","TZ","TZA","834","AFR",2009,47,2007,,,,,,
"Zambia","ZM","ZMB","894","AFR",2009,0,2010,,,78,2010,,
"Zimbabwe","ZW","ZWE","716","AFR",2007,0,,,,0,,,
